2,6,7,9,15,16|2
1,7,12,17,19,27|1
2,6,7,9,15,17|2
3,11,14,18,29,32|1
1,2,7,10,13,30|1
1,2,7,10,13,31|1
10,17,22,27,31,33|2
10,11,20,27,29,32|2
9,10,13,16,24,25|1
9,10,13,16,24,28|1
9,10,13,16,24,29|1
2,6,7,9,15,24|2
2,6,7,9,15,25|1
2,6,7,9,15,27|2
2,6,7,9,15,28|2
2,6,7,9,15,30|1
2,6,7,9,15,32|1
5,9,14,15,28,29|2
8,10,18,28,31,33|2
9,10,13,16,24,30|1
9,10,13,16,24,32|1
9,10,13,16,24,33|1
5,6,19,24,26,29|1
7,14,16,26,27,31|2
2,6,7,9,15,33|1
2,9,13,25,31,32|2
2,9,13,25,31,33|2
5,6,14,20,25,27|2
5,6,14,20,25,28|1
5,6,14,20,25,29|2
1,7,12,17,19,29|1
5,7,10,17,26,27|1
5,7,10,17,26,28|1
2,5,9,10,18,32|1
2,12,13,15,31,33|1
2,5,9,10,18,27|2
7,14,16,26,27,29|2
2,5,9,10,18,28|2
5,10,13,17,26,31|2
5,6,14,20,25,30|2
5,10,13,17,26,32|2
5,10,13,17,26,33|2
1,7,12,17,19,31|1
5,6,14,20,25,33|2
6,7,17,24,31,32|2
6,7,17,24,31,33|2
6,14,16,25,27,28|1
5,7,10,17,26,30|1
9,14,24,25,29,33|2
6,14,16,25,27,29|1
5,7,10,17,26,31|1
5,7,10,17,26,32|1
5,7,10,17,26,33|1
4,13,15,17,21,22|2
9,14,24,25,29,30|2
3,6,16,18,19,21|1
9,14,24,25,29,31|2
3,6,16,18,19,22|1
9,14,24,25,29,32|2
11,17,22,28,31,32|1
11,17,22,28,31,33|1
3,6,16,18,19,25|1
4,9,16,23,32,33|2
3,6,16,18,19,29|1
3,4,15,20,30,33|1
2,3,13,22,27,30|1
3,4,15,20,30,31|1
3,4,15,20,30,32|1
5,6,9,15,29,30|1
3,4,18,19,27,30|1
5,6,9,15,29,32|1
3,4,18,19,27,31|1
5,6,9,15,29,33|1
3,4,18,19,27,32|1
4,11,20,24,25,27|2
3,4,18,19,27,33|1
2,3,13,22,27,31|1
1,2,7,10,13,23|2
5,9,10,21,22,28|1
5,9,10,21,22,29|2
5,7,14,15,24,25|2
1,2,7,10,13,25|1
4,13,20,24,29,30|1
1,2,7,10,13,27|1
5,7,14,15,24,28|1
4,13,20,24,29,31|1
5,7,14,15,24,29|2
1,2,7,10,13,29|2
5,9,10,21,22,24|2
5,9,10,21,22,25|2
5,9,10,21,22,26|2
5,9,10,21,22,27|1
10,14,16,27,32,33|1
5,9,10,21,22,30|1
3,8,18,23,27,31|2
3,4,18,19,27,28|1
5,7,14,15,24,32|1
5,7,14,15,24,33|2
6,14,16,25,27,31|1
6,14,16,25,27,32|1
1,2,7,10,13,14|2
1,2,7,10,13,15|1
2,13,16,23,25,28|1
1,2,7,10,13,17|2
4,13,15,17,21,25|1
5,9,10,21,22,31|2
5,9,10,21,22,33|2
3,8,18,23,27,29|1
2,13,14,26,27,29|2
4,6,8,12,18,20|2
4,6,8,12,18,21|2
4,6,8,12,18,22|1
4,7,14,18,24,25|2
4,7,14,18,24,26|2
4,6,8,12,18,24|1
4,7,14,18,24,27|2
4,7,14,18,24,28|2
15,18,26,28,31,32|2
15,18,26,28,31,33|2
1,8,11,15,21,30|2
3,12,21,26,28,29|1
1,3,7,11,28,29|1
3,10,12,14,25,27|2
3,10,12,14,25,29|2
8,9,15,29,30,33|1
4,7,13,24,28,31|2
3,10,12,14,25,32|2
4,7,13,24,28,29|2
6,9,11,16,19,20|1
10,18,25,27,32,33|2
6,9,11,16,19,22|1
4,6,8,12,18,28|1
6,9,11,16,19,24|1
6,9,11,16,19,25|1
3,15,17,26,31,32|2
3,15,17,26,31,33|2
6,9,11,16,19,29|1
2,4,9,13,17,24|2
6,8,10,18,31,33|2
3,6,16,18,19,31|1
4,6,8,12,18,31|2
6,9,11,16,19,31|1
2,5,14,16,27,28|2
6,9,12,20,22,32|2
8,10,13,15,24,29|2
6,9,12,20,22,25|2
6,9,12,20,22,27|2
9,16,17,25,31,32|2
9,16,17,25,31,33|1
6,9,12,20,22,29|2
3,12,15,17,18,31|2
8,10,13,15,24,26|2
2,13,24,25,29,30|2
7,13,25,26,28,31|1
6,9,12,20,22,33|2
7,13,25,26,28,32|1
2,5,6,14,22,32|1
7,13,25,26,28,33|1
2,5,6,14,22,33|1
5,10,17,24,30,32|2
3,6,9,11,20,22|1
5,10,17,24,30,33|2
3,6,9,11,20,24|1
3,6,9,11,20,25|1
3,4,5,14,30,31|1
3,4,5,14,30,32|1
6,10,13,18,26,29|1
2,5,6,14,22,29|2
5,7,17,18,25,26|2
5,7,17,18,25,27|2
2,5,6,14,22,23|2
5,7,17,18,25,28|2
5,7,17,18,25,29|2
2,5,6,14,22,25|1
2,5,6,14,22,26|2
2,5,6,14,22,27|1
3,7,13,14,21,26|2
3,7,13,14,21,27|2
3,7,13,14,21,28|2
4,5,20,27,30,33|2
2,9,13,17,25,31|2
6,10,13,18,26,31|2
6,10,13,18,26,33|1
4,9,13,20,31,33|2
